sepal_length,sepal_width,petal_length,petal_width,species,acquisition_timestamp
4.9,3.0,1.4,0.2,setosa,2024-04-08 19:14:04
4.7,3.2,1.3,0.2,setosa,2024-04-08 19:14:06
4.6,3.1,1.5,0.2,setosa,2024-04-08 19:14:08
5.0,3.6,1.4,0.2,setosa,2024-04-08 19:14:10
5.4,3.9,1.7,0.4,setosa,2024-04-08 19:14:12
4.6,3.4,1.4,0.3,setosa,2024-04-08 19:14:14
5.0,3.4,1.5,0.2,setosa,2024-04-08 19:14:16
4.4,2.9,1.4,0.2,setosa,2024-04-08 19:14:18
4.9,3.1,1.5,0.1,setosa,2024-04-08 19:14:20
5.4,3.7,1.5,0.2,setosa,2024-04-08 19:14:22
4.8,3.4,1.6,0.2,setosa,2024-04-08 19:14:24
4.8,3.0,1.4,0.1,setosa,2024-04-08 19:14:26
4.3,3.0,1.1,0.1,setosa,2024-04-08 19:14:28
5.8,4.0,1.2,0.2,setosa,2024-04-08 19:14:30
5.7,4.4,1.5,0.4,setosa,2024-04-08 19:14:32
5.4,3.9,1.3,0.4,setosa,2024-04-08 19:14:34
5.1,3.5,1.4,0.3,setosa,2024-04-08 19:14:36
5.7,3.8,1.7,0.3,setosa,2024-04-08 19:14:38
5.1,3.8,1.5,0.3,setosa,2024-04-08 19:14:40
5.4,3.4,1.7,0.2,setosa,2024-04-08 19:14:42
5.1,3.7,1.5,0.4,setosa,2024-04-08 19:14:44
4.6,3.6,1.0,0.2,setosa,2024-04-08 19:14:46
5.1,3.3,1.7,0.5,setosa,2024-04-08 19:14:48
4.8,3.4,1.9,0.2,setosa,2024-04-08 19:14:50
5.0,3.0,1.6,0.2,setosa,2024-04-08 19:14:52
4.9,3.0,1.4,0.2,setosa,2024-04-08 19:37:37
4.7,3.2,1.3,0.2,setosa,2024-04-08 19:37:39
4.6,3.1,1.5,0.2,setosa,2024-04-08 19:37:41
5.0,3.6,1.4,0.2,setosa,2024-04-08 19:37:43
5.4,3.9,1.7,0.4,setosa,2024-04-08 19:37:45
4.6,3.4,1.4,0.3,setosa,2024-04-08 19:37:47
5.0,3.4,1.5,0.2,setosa,2024-04-08 19:37:49
4.4,2.9,1.4,0.2,setosa,2024-04-08 19:37:51
4.9,3.1,1.5,0.1,setosa,2024-04-08 19:37:53
